Profile,Height,Width,Web,Flange,Radius_1,Radius_2
UPN 20x10x3,20,10,3,3.5,3.5,2.5
UPN 30x15x4,30,15,4,4.5,4.5,2.5
UPN 30x15x4,30,15,4,4.5,1,<1
UPN 30x33x5,30,33,5,7,7,3
UPN 40x20x3,40,20,3,3.3,3.3,3
UPN 40x20x3,40,20,3,3.5,1,<1
UPN 40x20x4,40,20,4,4.5,4.5,3
UPN 40x20x4,40,20,4,4.5,1,<1
UPN 40x35x5,40,35,5,7,7,3
UPN 40x35x5,40,35,5,7,1,<1
UPN 50x25x5,50,25,5,6,5,3.5
UPN 50x25x5,50,25,5,6,1,<1
UPN 50,50,38,5,7,7,3.5
UPN 50,50,38,5,7,1,<1
UPN 60x30x6,60,30,6,6,6,3
UPN 60x30x6,60,30,6,6,1,<1
UPN 65,65,42,5.5,7.5,7.5,4
UPN 65,65,42,5.5,7.5,1,<1
UPN 80,80,45,6,8,8,4
UPN 80,80,45,6,8,2,<1
UPN 100,100,50,6,8.5,8.5,4.5
UPN 100,100,50,6,8.5,2,<1
UPN 120,120,55,7,9,9,4.5
UPN 120,120,55,7,9,2,<1
UPN 140,140,60,7,10,10,5
UPN 140,140,60,7,10,2,<1
UPN 160,160,65,7.5,10.5,10.5,5.5
UPN 160,160,65,7.5,10.5,2,<1
UPN 180,180,70,8,11,11,5.5
UPN 180,180,70,8,11,2,<1
UPN 200,200,75,8.5,11.5,2,<1
UPN 220,220,80,9,12.5,2,<1
UPN 240,240,85,9.5,13,2,<1
UPN 260,260,90,10,14,2,<1
UPN 280,280,95,10,15,2,<1
UPN 300,300,100,10,16,2,<1
UPN 320,320,100,14,17.5,2,<1
UPN 350,350,100,14,16,2,<1
UPN 380,380,102,13.5,16,2,<1
UPN 400,400,110,14,18,2,<1